item_id,item_feedback,correction
c68, " 'Arbeit ist keine Ware' verstehe ich als normative Aussage. Arbeit *sollte* keine Ware sein. Tatsächlich ist ARbeit jedoch eine Ware, die zu einem Marktpreis gehandelt wird.",FALSE
c28,"Dieses frei tauschen [?] macht nur Sinn wenn damit gemeint ist unabhängig vom Markt.",FALSE
c10,"Da fehlt mir der Hinweis das Grundlagenforschung ein Wert an sich ist unabhängig vom Nutzen für Menschen, auch wenn damit menschliches Wohlbefinden gemeint. [?] Auch in dieser Form ich c10 nur zustimmen wenn es im Gegensatz zu c59 verstanden wird wo explizit komerzielle Anwendungen genannt werden.",FALSE
